title_fight,fighter_red,fighter_blue,weight_class,event_date,event_location,reach_red,reach_blue,height_red,height_blue,dob_red,dob_blue
0,Gabriel Bonfim,Randy Brown,Welterweight,2025-11-08," Las Vegas, Nevada, USA","72""","78""","6' 1""","6' 3""","Aug 20, 1997","Jul 08, 1990"
0,Matt Schnell,Joseph Morales,Flyweight,2025-11-08," Las Vegas, Nevada, USA","70""","69""","5' 8""","5' 6""","Jan 15, 1990","Aug 22, 1994"
0,Muslim Salikhov,Uros Medic,Welterweight,2025-11-08," Las Vegas, Nevada, USA","70""","71""","5' 11""","6' 1""","Jun 09, 1984","Apr 25, 1993"
0,Chris Padilla,Ismael Bonfim,Lightweight,2025-11-08," Las Vegas, Nevada, USA","74""","71""","5' 9""","5' 8""","Sep 14, 1995","Dec 28, 1995"
0,Christian Leroy Duncan,Marco Tulio,Middleweight,2025-11-08," Las Vegas, Nevada, USA","79""","74""","6' 2""","6' 0""","Jul 24, 1995","Jun 13, 1994"
0,Hyder Amil,Jamall Emmers,Featherweight,2025-11-08," Las Vegas, Nevada, USA","70""","74""","5' 9""","5' 10""","May 28, 1990","Jul 24, 1989"
0,Ricky Simon,Raoni Barcelos,Bantamweight,2025-11-08," Las Vegas, Nevada, USA","69""","67""","5' 6""","5' 7""","Aug 31, 1992","May 01, 1987"
0,Mayra Bueno Silva,Jacqueline Cavalcanti,Women's Bantamweight,2025-11-08," Las Vegas, Nevada, USA","66""","70""","5' 6""","5' 8""","Aug 22, 1991","Aug 29, 1997"
0,Josh Hokit,Max Gimenis,Heavyweight,2025-11-08," Las Vegas, Nevada, USA","73""","75""","6' 1""","6' 2""","Nov 12, 1997","Apr 14, 1993"
0,Tecia Pennington,Denise Gomes,Women's Strawweight,2025-11-08," Las Vegas, Nevada, USA","60""","63""","5' 1""","5' 2""","Aug 16, 1989","Dec 30, 1999"
0,Miles Johns,Daniel Marcos,Bantamweight,2025-11-08," Las Vegas, Nevada, USA","68""","69""","5' 7""","5' 7""","Mar 30, 1994","Mar 07, 1993"
0,Zach Reese,Jackson McVey,Catch Weight,2025-11-08," Las Vegas, Nevada, USA","77""","77""","6' 4""","6' 4""","Mar 24, 1994","Mar 25, 1999"
